"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_Mutant_Ent","Ent","Ent","Ant","Ent","Энт","ENT","Ent","ENT","ENT","Ent","耳鼻喉科","Ent","Ent","耳鼻喉科",
"STR_Mutant_Ent_t","The Ents are the ancient shepherds of the forests and allies of the free peoples. The most prominent figure among the Ents is Treebeard, aka Fangorn. The Ents spoke their own language, but apparently they knew both Quenya, Sindarin, and Westron, since many of the Ents' names have obvious Elvish loanwords, and their own language has Quenya roots.","The Ents are the ancient shepherds of the forests and allies of the free peoples. The most prominent figure among the Ents is Treebeard, aka Fangorn. The Ents spoke their own language, but apparently they knew both Quenya, Sindarin, and Westron, since many of the Ents' names have obvious Elvish loanwords, and their own language has Quenya roots.","Entové jsou starověcí pastýři lesů a spojenci svobodných národů. Nejvýraznější postavou mezi entami je Stromboli, aka Fangorn. Antové mluvili vlastním jazykem, ale zřejmě věděli jak Quenya, tak Sindarin a westron, protože mnoho jmen entů má explicitní elfské výpůjčky a jejich vlastní jazyk má kvénské kořeny.","Die Entes sind alte Hirten der Wälder und Verbündete freier Völker. Die prominenteste Figur unter den Entenarten ist der Baumgarten, auch bekannt als Fangorn. Die Ents sprachen ihre eigene Sprache, wussten aber anscheinend sowohl Quenja als auch Sindarin und Westron, da viele Ents-Namen explizite elbische Ausleihen haben und ihre eigene Sprache kvenische Wurzeln hat.","Энты являются древними пастырями лесов и союзниками свободных народов. Наиболее заметной фигурой среди энтов является Древобород, он же Фангорн. Говорили энты на собственном языке, но знали, видимо, и квенья, и синдарин, и вестрон, так как многие имена энтов имеют явные эльфийские заимствования, а их собственный язык имеет квенийские корни.","Entowie są starożytnymi pasterzami lasów i sojusznikami wolnych narodów. Najbardziej widoczną postacią wśród entów jest Treebeard, znany również jako Fangorn. Entowie mówili własnym językiem, ale najwyraźniej znali zarówno Quenya, Sindarin, jak i vestron, ponieważ wiele imion entów ma wyraźne zaciągnięcia elfów, a ich własny język ma korzenie quenian.","Az entek az erdők ősi pásztorai és a szabad népek szövetségesei. Az entek közül a legkiemelkedőbb alak a Treebeard, más néven Fangorn. Az entek a saját nyelvüket beszélték, de nyilvánvalóan ismerték mind a Quenyát, mind a Sindarint és a Westront, mivel sok ENT nevének nyilvánvaló Elf kölcsönszavai vannak, és saját nyelvüknek Quenya gyökerei vannak.","Gli Ent sono antichi pastori delle foreste e alleati dei popoli liberi. La figura più importante tra gli Ent è Barbalbero, alias Fangorn. Gli Ent parlavano la loro lingua, ma a quanto pare conoscevano sia Quenya, Sindarin e westron, poiché molti nomi ENT hanno evidenti prestiti elfici e la loro lingua ha radici Quenya.","Los ENTS son antiguos pastores de los bosques y aliados de los pueblos libres. La figura más notable entre los ENTS es el barbudo, también conocido como fangorn. Los entes hablaban su propio idioma, pero al parecer sabían Quenya, Sindarin y vestron, ya que muchos de los nombres de los entes tienen préstamos élficos explícitos y su propio idioma tiene raíces quenias.","Les ent sont d'anciens pasteurs des forêts et alliés des peuples libres. La figure la plus notable parmi les Entes est la barbe à Bois, alias Fangorn. Les Entes parlaient leur propre langue, mais ils savaient apparemment quenya, sindarin et westron, car de nombreux noms d'Entes ont des emprunts elfiques évidents et leur propre langue a des racines quenya.","恩特人是森林的古老牧羊人和自由人民的盟友。 Ents中最突出的人物是Treebeard，又名Fangorn。 Ents说他们自己的语言，但显然他们知道Quenya，Sindarin和Westron，因为许多Ents的名字都有明显的精灵外来词，他们自己的语言有Quenya根源。","エントは、森の古代の羊飼いであり、自由民の同盟国です。 エントの中で最も著名な人物は、ツリービアード、別名ファンゴーンです。 エントは独自の言語を話しましたが、エントの名前の多くには明らかなエルフの借用語があり、独自の言語にはクエンヤのルーツがあるため、クエンヤ、シンダリン、ウェストロンの両方を知っていたようです。","Os ents são antigos Pastores das florestas e aliados dos povos livres. A figura mais notável entre os Ents é Barbárvore, também conhecido como Fangorn. Os ents falavam sua própria língua, mas aparentemente conheciam Quenya, Sindarin e Westron, já que muitos nomes ents têm empréstimos эльficos óbvios, e sua própria língua tem raízes quenianas.","恩特人是森林的古老牧羊人和自由人民的盟友。 Ents中最突出的人物是Treebeard，又名Fangorn。 Ents说他们自己的语言，但显然他们知道Quenya，Sindarin和Westron，因为许多Ents的名字都有明显的精灵外来词，他们自己的语言有Quenya根源。",
"STR_Ent_head","Ent's Head","Ent's Head","Entova Hlava","Ents Kopf","Голова Энта","Głowa ENT","Ent feje","Testa Di Ent","Cabeza De ENT","Tête D'Ent","耳鼻喉科的头","エントの頭","Cabeça Ent","耳鼻喉科的头",
"STR_Ent_head_medium","The Head of the Wise Ent","The Head of the Wise Ent","Hlava moudrého Anta","Der Kopf des weisen Ent","Голова мудрого Энта","Głowa mądrego Entusa","A bölcs Ent feje","La testa del saggio ENT","Cabeza del sabio ENT","La tête du sage Ent","智者之首","賢いEntの頭","Cabeça do Ent sábio","智者之首",
"STR_Ent_head_hard","The head of a strong Ent","The head of a strong Ent","Hlava silného ENT","Kopf des starken Ent","Голова сильного Энта","Głowa silnego ENT","Az erős Ent feje","Forte testa ENT","Cabeza de ENT fuerte","La tête d'un Ent fort","强耳鼻喉科的头","強いEntの頭","Cabeça do Ent forte","强耳鼻喉科的头",
"STR_RuneStone_Fire","Rune of Fire","Rune of Fire","Runa ohně","Feuer-Rune","Руна огня","Runa ognia","Tűz rúna","Runa del fuoco","Runa de fuego","Rune de feu","火之符文","火のルーン","Runa de fogo","火之符文",
"STR_RuneStone_Fire1","The rune of fire is the rune of aspiration and the embodiment of aspirations, which means it is the rune of speech, since in the Nordic tradition speech and the verb have always been associated with the embodiment of intention.","The rune of fire is the rune of aspiration and the embodiment of aspirations, which means it is the rune of speech, since in the Nordic tradition speech and the verb have always been associated with the embodiment of intention.","Runa ohně je runa aspirace a inkarnace aspirací, a tedy runa řeči, protože v nordické tradici byla řeč, sloveso vždy spojováno s ztělesněním záměru.","Die Feuerrune ist die Rune des Strebens und der Verkörperung von Bestrebungen und damit die Rune der Rede, da in der nordischen Tradition Sprache, das Verb immer mit der Verkörperung von Absicht in Verbindung gebracht wurde.","Руна огня - это руна устремления и воплощения стремлений, а значит — руна речи, поскольку в нордической традиции речь, глагол всегда ассоциировались с воплощением намерения.","Runa ognia jest runą aspiracji i ucieleśnienia aspiracji, co oznacza runę mowy, ponieważ w tradycji nordyckiej mowa, czasownik zawsze kojarzył się z ucieleśnieniem intencji.","A tűz rúnája a törekvés rúnája és a törekvések megtestesülése, ami azt jelenti, hogy a beszéd rúnája, mivel az Északi hagyományban a beszéd és az ige mindig a szándék megtestesülésével társult.","La runa del fuoco è la runa dell'aspirazione e l'incarnazione delle aspirazioni, e quindi la runa del discorso, poiché nella tradizione nordica il discorso, il verbo è sempre stato associato all'incarnazione dell'intenzione.","La runa del fuego es la runa de la aspiración y la encarnación de las aspiraciones, lo que significa la runa del habla, ya que en la tradición nórdica, el habla y el verbo siempre se han asociado con la encarnación de la intención.","La rune du feu est la rune de l'aspiration et de l'incarnation des aspirations, et donc la rune du discours, puisque dans la tradition nordique le discours, le verbe ont toujours été associés à l'incarnation de l'intention.","火的符文是愿望的符文和愿望的体现，这意味着它是言语的符文，因为在北欧传统中，言语和动词一直与意图的体现联系在一起。","火のルーンは願望のルーンであり、願望の具現化であり、北欧の伝統ではスピーチと動詞は常に意図の具現化に関連しているため、スピーチのルーンであるこ","A runa do fogo é a runa da aspiração e da encarnação das aspirações, o que significa a runa da fala, já que na tradição nórdica a fala, o verbo sempre foi associado à encarnação da intenção.","火的符文是愿望的符文和愿望的体现，这意味着它是言语的符文，因为在北欧传统中，言语和动词一直与意图的体现联系在一起。",
"STR_RuneStone_FireSmall","The rune of fire is small","The rune of fire is small","Runa ohně malá","Kleine Rune des Feuers","Руна огня малая","Runa ognia mała","A tűz rúnája kicsi","Runa del fuoco piccola","Runa de fuego pequeña","Petite rune de feu","火之符小","火のルーンは小さい","Runa de fogo pequena","火之符小",
"STR_RuneStone_FireSmall1","The small rune of fire is a rune of aspiration and the embodiment of aspirations, which means it is a rune of speech, since in the Nordic tradition speech and the verb have always been associated with the embodiment of intention.","The small rune of fire is a rune of aspiration and the embodiment of aspirations, which means it is a rune of speech, since in the Nordic tradition speech and the verb have always been associated with the embodiment of intention.","Runa ohně malá je runa aspirace a inkarnace aspirací, a tedy runa řeči, protože v nordické tradici byla řeč, sloveso vždy spojováno s ztělesněním záměru.","Eine kleine Feuerrune ist eine Rune des Strebens und der Verkörperung von Bestrebungen und damit eine Sprachrune, da in der nordischen Tradition Sprache, das Verb immer mit der Verkörperung von Absicht in Verbindung gebracht wurde.","Руна огня малая - это руна устремления и воплощения стремлений, а значит — руна речи, поскольку в нордической традиции речь, глагол всегда ассоциировались с воплощением намерения.","Mała runa ognia jest runą aspiracji i ucieleśnienia aspiracji, co oznacza runę mowy, ponieważ w tradycji nordyckiej mowa, czasownik zawsze kojarzył się z ucieleśnieniem intencji.","A tűz kis rúnája a törekvés rúnája és a törekvések megtestesülése, ami azt jelenti, hogy a beszéd rúnája, mivel az Északi hagyományban a beszéd és az ige mindig a szándék megtestesülésével társult.","La runa del fuoco minore è la runa dell'aspirazione e dell'incarnazione delle aspirazioni, e quindi la runa del discorso, poiché nella tradizione nordica il discorso, il verbo è sempre stato associato all'incarnazione dell'intenzione.","La runa de fuego menor es la runa de la aspiración y la encarnación de las aspiraciones, y por lo tanto, la runa del habla, ya que en la tradición nórdica, el habla y el verbo siempre se asociaron con la encarnación de la intención.","La rune du feu est la rune de l'aspiration et de l'incarnation des aspirations, et donc la rune du discours, puisque dans la tradition nordique le discours, le verbe ont toujours été associés à l'incarnation de l'intention.","火的小符文是渴望的符文和愿望的体现，这意味着它是言语的符文，因为在北欧传统中，言语和动词一直与意图的体现联系在一起。","火の小さなルーンは願望のルーンであり、願望の具現化であり、北欧の伝統ではスピーチと動詞は常に意図の具現化に関連しているため、スピーチのルーンで","A runa pequena do fogo é a runa da aspiração e da encarnação das aspirações, o que significa a runa da fala, já que na tradição nórdica a fala, o verbo sempre foi associado à encarnação da intenção.","火的小符文是渴望的符文和愿望的体现，这意味着它是言语的符文，因为在北欧传统中，言语和动词一直与意图的体现联系在一起。",
