"Language","original","english","russian","spanish","portuguese","italian","german","chinesesimp","french","polish","czech","turkish","ukrainian","japanese","korean","chinesetrad","arabic"
"STR_DRL_CATEGORY","Category","Category","Категория","Categoría","Categoria","Categoria","Kategorie","类别","Catégorie","Kategoria","Kategorie","Kategori","Категорія","カテゴリー","카테고리","類別","الفئة"
"STR_DRL_Craft_Ingridient_Titel","Ingredients","Ingredients","Ингредиенты","Ingredientes","Ingredientes","Ingredienti","Zutaten","成分","Ingrédients","Składniki","Ingredience","Malzemeler","Інгредієнти","材料","재료","成分","المكونات"
"STR_DRL_CRAFT_Recipe_Detail","Recipe Details","Recipe Details","Детали рецепта","Detalles de la receta","Detalhes da receita","Dettagli ricetta","Rezeptdetails","配方详情","Détails de la recette","Szczegóły przepisu","Podrobnosti receptu","Tarif detayları","Деталі рецепта","レシピ詳細","레시피 세부정보","配方詳情","تفاصيل الوصفة"
"STR_DRL_START","Create now","Create now","Создать сейчас","Crear ahora","Criar agora","Crea ora","Jetzt erstellen","立即创建","Créer maintenant","Utwórz teraz","Vytvořit nyní","Şimdi oluştur","Створити зараз","今すぐ作成","지금 만들기","立即建立","إنشاء الآن"
"STR_DRL_NO_INGREDIENTS","No ingredients","No ingredients","Нет ингредиентов","Sin ingredientes","Sem ingredientes","Nessun ingrediente","Keine Zutaten","没有材料","Aucun ingrédient","Brak składników","Žádné přísady","Malzeme yok","Немає інгредієнтів","材料なし","재료 없음","沒有材料","لا توجد مكونات"
"STR_DRL_IN_PROGRESS","In progress...","In progress...","В процессе...","En proceso...","Em andamento...","In corso...","In Bearbeitung...","进行中...","En cours...","W toku...","Probíhá...","Devam ediyor...","У процесі...","進行中...","진행 중...","進行中...","قيد التقدم..."
"STR_Attachment_Text","Attachments","Attachments","Обвесы","Accesorios","Acessórios","Accessori","Anbauteile","配件","Accessoires","Dodatki","Příslušenství","Eklentiler","Обвіси","アタッチメント","부착물","配件","الملحقات"
"STR_DRL_CRAFT_INGREDIENT_DETAIL","Requirements","Requirements","Требования","Requisitos","Requisitos","Requisiti","Anforderungen","要求","Exigences","Wymagania","Požadavky","Gereksinimler","Вимоги","必要条件","요구 사항","要求","المتطلبات"
"STR_SEARCH_RECIPE","Find recipe","Find recipe","Найти рецепт","Buscar receta","Encontrar receita","Trova ricetta","Rezept finden","查找配方","Trouver une recette","Znajdź przepis","Najít recept","Tarif bul","Знайти рецепт","レシピを探す","레시피 찾기","查找配方","ابحث عن وصفة"
"STR_DRL_CRAFT_TIME","Craft time:","Craft time:","Время создания:","Tiempo de creación:","Tempo de criação:","Tempo di creazione:","Herstellungszeit:","制作时间:","Temps de fabrication :","Czas tworzenia:","Doba výroby:","Üretim süresi:","Час створення:","製作時間:","제작 시간:","製作時間:","وقت الصنع:"
"STR_DRL_TIME","Time:","Time:","Время:","Tiempo:","Tempo:","Tempo:","Zeit:","时间:","Temps :","Czas:","Čas:","Zaman:","Час:","時間:","시간:","時間:","الوقت:"
"STR_DRL_NAME","Name:","Name:","Имя:","Nombre:","Nome:","Nome:","Name:","名字:","Nom :","Nazwa:","Jméno:","Adı:","Ім'я:","名前:","이름:","名字:","الاسم:"
"STR_DRL_QUANTITY","Quantity:","Quantity:","Количество:","Cantidad:","Quantidade:","Quantità:","Menge:","数量:","Quantité :","Ilość:","Množství:","Miktar:","Кількість:","数量:","수량:","數量:","الكمية:"
"STR_DRL_FILL","Contents:","Contents:","Наполнение:","Contenido:","Conteúdo:","Contenuto:","Inhalt:","内容:","Contenu :","Zawartość:","Obsah:","İçindekiler:","Вміст:","内容:","내용물:","內容:","المحتويات:"
"STR_DRL_STATE","State:","State:","Состояние:","Estado:","Estado:","Stato:","Zustand:","状态:","État :","Stan:","Stav:","Durum:","Стан:","状態:","상태:","狀態:","الحالة:"
"STR_DRL_DAMAGE","Will damage:","Will damage:","Повредит:","Dañará:","Irá danificar:","Danneggerà:","Wird beschädigen:","会损坏:","Endommagera :","Uszkodzi:","Poškodí:","Zarar verecek:","Пошкодить:","損傷する","손상시킴","會損壞:","سيتلف:"
"STR_DRL_DELETE_NO","Deletion: no","Deletion: no","Удаление: нет","Eliminación: no","Exclusão: não","Eliminazione: no","Löschen: nein","删除：否","Suppression : non","Usunięcie: nie","Odstranění: ne","Silme: hayır","Видалення: ні","削除：いいえ","삭제: 아니요","刪除：否","الحذف: لا"
"STR_DRL_DELETE_YES","Deletion: yes","Deletion: yes","Удаление: да","Eliminación: sí","Exclusão: sim","Eliminazione: sì","Löschen: ja","删除：是","Suppression : oui","Usunięcie: tak","Odstranění: ano","Silme: evet","Видалення: так","削除：はい","삭제: 예","刪除：是","الحذف: نعم"
"STR_DRL_UNTOUCHED","Untouched","Untouched","Нетронутое","Intacto","Intocado","Intatto","Unberührt","未触动","Intact","Nienaruszone","Nedotčené","Dokunulmamış","Неторкане","無傷","손상 없음","未觸動","سليم"
"STR_DRL_BROKEN","Broken","Broken","Сломанное","Roto","Quebrado","Rotto","Kaputt","损坏的","Cassé","Złamane","Rozbité","Kırık","Зламане","壊れた","부서짐","損壞的","مكسور"
"STR_DRL_WORN","Worn","Worn","Ношеное","Gastado","Gasto","Usato","Abgenutzt","磨损的","Usé","Zużyte","Onošené","Eskimiş","Зношене","使い古し","마모됨","磨損的","مستهلك"
"STR_DRL_DAMAGED","Damaged","Damaged","Повреждённое","Dañado","Danificado","Danneggiato","Beschädigt","受损的","Endommagé","Uszkodzone","Poškozené","Hasarlı","Пошкоджене","損傷した","손상됨","受損的","تالف"
